budget,runtime,vote_average,vote_count,popularity,release_year,release_month,roi,primary_genre,revenue
30000000.0,105.0,6.2,219.0,6.34785,1993.0,11.0,0.7966281666666667,Action,53898845.0
25000000.0,130.0,7.4,632.0,11.338194,1993.0,12.0,1.2602026,Action,56505065.0
12500000.0,120.0,7.5,762.0,17.189328,1993.0,9.0,-0.01747592,Action,12281551.0
27000000.0,80.0,6.2,178.0,7.436001,1994.0,11.0,-0.49367822222222224,Fantasy,13670688.0
18000000.0,103.0,7.1,2487.0,0.702543,1990.0,11.0,25.482481944444444,Comedy,476684675.0
22000000.0,127.0,6.9,1381.0,11.945397,1990.0,7.0,21.954545454545453,Fantasy,505000000.0
28000000.0,90.0,7.4,3495.0,16.357419,1992.0,11.0,17.001793535714285,Animation,504050219.0
100000000.0,137.0,7.7,4274.0,22.661695,1991.0,7.0,4.2,Action,520000000.0
22000000.0,181.0,7.6,1084.0,11.654349,1990.0,11.0,18.282220363636362,Adventure,424208848.0
35000000.0,126.0,7.0,2145.0,19.10673,1989.0,6.0,10.7528264,Fantasy,411348924.0
19000000.0,119.0,8.1,4549.0,4.307222,1991.0,2.0,13.354890631578947,Crime,272742922.0
1488423.0,83.0,6.9,1973.0,16.263878,1937.0,12.0,123.24256142239135,Fantasy,184925486.0
25000000.0,84.0,7.5,3029.0,23.433511,1991.0,11.0,14.09402212,Romance,377350553.0
2600000.0,88.0,6.9,1412.0,14.202284,1940.0,2.0,31.423076923076923,Animation,84300000.0
14000000.0,119.0,7.0,1807.0,13.348451,1990.0,3.0,32.07142857142857,Romance,463000000.0
6244087.0,145.0,7.7,266.0,11.722424,1969.0,6.0,-0.8977206755767496,Adventure,638641.0
7000000.0,98.0,7.7,2080.0,12.61469,1996.0,4.0,7.658853571428572,Crime,60611975.0
4000000.0,86.0,4.9,111.0,5.263187,1996.0,3.0,3.16875,Horror,16675000.0
4000000.0,78.0,7.1,1287.0,9.834047,1970.0,12.0,12.91881425,Animation,55675257.0
30000000.0,129.0,7.4,644.0,10.326213,1996.0,4.0,2.4205394333333334,Crime,102616183.0
12000000.0,108.0,5.7,17.0,4.405169,1996.0,3.0,-0.5883384166666666,Comedy,4939939.0
46000000.0,117.0,6.2,240.0,11.595316,1996.0,7.0,1.1926264782608695,Drama,100860818.0
80000000.0,110.0,6.7,2677.0,15.793477,1996.0,5.0,4.7212044875,Adventure,457696359.0
57000000.0,103.0,6.4,553.0,23.63659,1996.0,5.0,1.022234649122807,Fantasy,115267375.0
38000000.0,79.0,6.2,375.0,13.217623,1996.0,4.0,-0.2389141052631579,Adventure,28921264.0
13000000.0,91.0,4.8,4.0,1.296862,1996.0,4.0,-0.24693076923076923,Comedy,9789900.0
80000000.0,88.0,6.5,1335.0,11.054251,1996.0,11.0,2.1275,Animation,250200000.0
9000000.0,98.0,5.7,149.0,14.304205,1968.0,10.0,-0.7222222222222222,Science Fiction,2500000.0
25000000.0,105.0,5.5,26.0,9.1861,1996.0,4.0,-0.5972,Comedy,10070000.0
30000000.0,95.0,5.3,126.0,7.941972,1996.0,4.0,0.9133515666666666,Action,57400547.0
31000000.0,74.0,6.5,372.0,10.813579,1988.0,11.0,1.3919789032258065,Animation,74151346.0
25530000.0,95.0,5.3,85.0,4.557006,1996.0,5.0,-0.21347356051703878,Adventure,20080020.0
35000000.0,135.0,6.7,25.0,1.690768,1995.0,9.0,-0.5714285714285714,War,15000000.0
15000000.0,101.0,6.3,388.0,12.860385,1996.0,5.0,0.6512977333333333,Drama,24769466.0
4800000.0,99.0,5.5,5.0,0.343579,1996.0,5.0,-0.3720833333333333,Action,3014000.0
75000000.0,136.0,6.9,1474.0,13.249824,1996.0,6.0,3.4675016133333334,Action,335062621.0
92000000.0,113.0,6.1,966.0,8.739144,1996.0,5.0,4.374690478260869,Action,494471524.0
25000000.0,115.0,6.1,200.0,6.497591,1996.0,5.0,-0.43806512,Action,14048372.0
1800000.0,95.0,8.0,1472.0,9.80398,1964.0,1.0,4.244595555555556,Drama,9440272.0
45000000.0,100.0,4.7,138.0,8.079541,1996.0,6.0,-0.6155358,Adventure,17300889.0
50000000.0,115.0,4.4,210.0,11.341502,1996.0,6.0,1.26619486,Drama,113309743.0
45000000.0,113.0,5.9,340.0,6.287245,1996.0,8.0,0.3026882888888889,Comedy,58620973.0
4000000.0,93.0,7.8,2737.0,19.348466,1996.0,2.0,3.12277,Drama,16491080.0
75000000.0,145.0,6.7,3334.0,17.634197,1996.0,6.0,9.892923573333332,Action,816969268.0
55000000.0,116.0,5.7,202.0,12.202063,1996.0,8.0,-0.6613378363636364,Drama,18626419.0
100000000.0,91.0,6.8,1182.0,13.553999,1996.0,6.0,0.00138851,Drama,100138851.0
47000000.0,96.0,5.7,603.0,7.586577,1996.0,6.0,1.1877828936170214,Comedy,102825796.0
27000000.0,113.0,6.7,248.0,11.633347,1996.0,7.0,-0.07320614814814815,Comedy,25023434.0
100000000.0,115.0,5.6,553.0,6.919314,1996.0,6.0,1.42295562,Action,242295562.0
54000000.0,95.0,5.4,717.0,9.651581,1996.0,6.0,1.3846175,Fantasy,128769345.0
80000000.0,115.0,5.8,385.0,11.995799,1996.0,12.0,0.9901558625,Action,159212469.0
30000000.0,110.0,6.7,413.0,12.09096,1996.0,7.0,-0.021359466666666667,Horror,29359216.0
5000000.0,135.0,6.9,79.0,9.069963,1996.0,6.0,1.6539926,Drama,13269963.0
32000000.0,123.0,6.2,328.0,5.575992,1996.0,7.0,3.7511369375,Drama,152036382.0
3500000.0,96.0,5.7,71.0,10.827266,1996.0,8.0,1.7093082857142856,Comedy,9482579.0
40000000.0,149.0,7.0,522.0,13.309013,1996.0,7.0,2.806650175,Crime,152266007.0
25000000.0,98.0,5.2,49.0,3.906949,1996.0,7.0,-0.31227076,Action,17193231.0
13000000.0,78.0,5.0,87.0,9.490858,1996.0,7.0,-0.6446912307692307,Fantasy,4619014.0
26000000.0,102.0,6.5,172.0,10.177303,1996.0,9.0,3.476923076923077,Comedy,116400000.0
80000000.0,117.0,6.4,482.0,8.772188,1996.0,11.0,2.8686585125,Action,309492681.0
50000000.0,107.0,5.3,291.0,15.874491,1996.0,8.0,0.20418668,Action,60209334.0
36000000.0,98.0,6.9,892.0,10.034915,1996.0,8.0,-0.07057177777777777,Comedy,33459416.0
6000000.0,121.0,6.7,152.0,6.593011,1996.0,8.0,2.7052763333333334,Drama,22231658.0
13000000.0,84.0,5.2,119.0,6.554679,1996.0,8.0,0.37825284615384613,Action,17917287.0
15000000.0,87.0,5.0,63.0,3.450402,1996.0,8.0,-0.6266666666666667,Horror,5600000.0
6000000.0,117.0,6.8,17.0,1.19589,1996.0,8.0,1.107296,Comedy,12643776.0
50000000.0,97.0,5.6,381.0,12.229381,1996.0,8.0,-0.1544527,Action,42277365.0
2962051.0,108.0,6.6,97.0,4.797674,1996.0,8.0,0.01659120656599093,Drama,3011195.0
